CustomerID,Gender,SeniorCitizen,Partner,Dependents,Tenure_Months,PhoneService,MultipleLines,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0001,Male,0,No,No,51,Yes,Yes,No,Month-to-month,Yes,Bank transfer,62.92,3208.92,No
CUST-0002,Female,0,Yes,No,70,Yes,No,Fiber optic,One year,No,Bank transfer,103.24,7226.8,No
CUST-0003,Male,1,No,No,6,Yes,No,No,Two year,Yes,Credit card,90.02,540.12,No
CUST-0004,Male,0,No,No,67,Yes,Yes,Fiber optic,Month-to-month,No,Credit card,134.15,8988.05,Yes
CUST-0005,Male,0,No,No,7,Yes,No phone service,Fiber optic,Month-to-month,No,Mailed check,72.3,506.1,No
CUST-0006,Female,0,No,Yes,51,No,Yes,Fiber optic,Month-to-month,Yes,Credit card,68.52,3494.52,No
CUST-0007,Male,0,No,No,42,Yes,No,No,Month-to-month,Yes,Credit card,78.42,3293.64,No
CUST-0008,Male,0,Yes,No,64,Yes,No phone service,Fiber optic,Month-to-month,Yes,Credit card,69.9,4473.6,No
CUST-0009,Male,0,Yes,No,15,Yes,No,Fiber optic,One year,Yes,Credit card,103.0,1545.0,Yes
CUST-0010,Female,1,Yes,No,29,Yes,No,Fiber optic,Month-to-month,No,Electronic check,30.51,884.79,No
CUST-0011,Male,0,No,No,33,Yes,Yes,No,One year,No,Credit card,47.39,1563.87,Yes
CUST-0012,Male,0,No,No,27,Yes,Yes,Fiber optic,Two year,No,Electronic check,46.97,1268.19,No
CUST-0013,Male,0,Yes,No,36,Yes,No phone service,Fiber optic,Two year,Yes,Electronic check,107.51,3870.36,No
CUST-0014,Male,0,No,No,29,Yes,No,Fiber optic,One year,No,Credit card,130.32,3779.28,No
CUST-0015,Female,1,Yes,Yes,38,Yes,No,No,Month-to-month,Yes,Bank transfer,75.87,2883.06,No
CUST-0016,Male,1,Yes,Yes,57,Yes,Yes,DSL,One year,Yes,Electronic check,73.94,4214.58,Yes
CUST-0017,Female,0,Yes,No,27,Yes,Yes,Fiber optic,One year,Yes,Bank transfer,81.1,2189.7,No
CUST-0018,Female,0,No,No,55,Yes,Yes,DSL,Month-to-month,Yes,Bank transfer,113.86,6262.3,No
CUST-0019,Female,0,No,No,33,Yes,No,Fiber optic,Month-to-month,Yes,Credit card,51.18,1688.94,No
CUST-0020,Male,0,Yes,Yes,68,Yes,Yes,Fiber optic,Two year,Yes,Mailed check,86.15,5858.2,Yes
CUST-0021,Female,0,Yes,No,66,Yes,No,Fiber optic,Month-to-month,No,Credit card,108.26,7145.16,No
CUST-0022,Male,0,Yes,No,10,Yes,No,Fiber optic,Month-to-month,Yes,Mailed check,94.03,940.3,No
CUST-0023,Female,0,Yes,No,5,Yes,No phone service,Fiber optic,Month-to-month,No,Mailed check,84.69,423.45,No
CUST-0024,Female,0,No,No,38,Yes,Yes,Fiber optic,Month-to-month,No,Credit card,109.03,4143.14,No
CUST-0025,Female,0,No,No,13,Yes,No,DSL,Two year,Yes,Credit card,-2.1,-27.3,No
CUST-0026,Female,1,Yes,No,31,Yes,No,Fiber optic,One year,Yes,Mailed check,99.34,3079.54,No
CUST-0027,Female,0,Yes,No,47,Yes,No,DSL,Two year,Yes,Credit card,59.38,2790.86,Yes
