HouseID,SquareFootage,Bedrooms,Bathrooms,YearBuilt,GarageCars,Neighborhood,Price
1,3974,2,1.0,1965,0,Suburbs,566313.46
2,4307,3,3.0,1958,2,Rural,687062.81
3,1660,3,2.5,1951,0,Urban,308655.05
4,2094,3,3.0,2011,2,Suburbs,401257.42
5,1930,2,2.0,1937,3,Urban,289408.76
6,1895,3,2.5,1937,2,Urban,281146.81
7,3892,2,2.0,1979,3,Suburbs,627337.67
8,2438,5,1.0,1942,1,Rural,376956.08
9,2969,4,1.0,1988,2,Rural,517197.07
10,1266,3,2.5,1927,2,Downtown,203519.38
11,2038,2,2.5,1994,2,Suburbs,314017.87
12,1130,2,4.0,1933,0,Downtown,221836.95
13,2282,1,3.0,2004,1,Downtown,385603.37
14,2935,3,4.0,2017,1,Downtown,599569.45
15,4244,2,3.0,1958,2,Rural,704156.3
16,3971,3,4.0,1927,2,Suburbs,614463.3
17,3719,2,2.0,1993,2,Downtown,581657.0
18,930,4,2.5,1975,0,Suburbs,186900.58
19,2485,3,1.0,1932,2,Suburbs,332888.41
20,4180,3,3.0,2017,1,Rural,714245.57
21,1569,3,3.0,2008,1,Downtown,362043.68
22,3191,2,1.0,1969,1,Downtown,440177.32
23,2315,3,4.0,1931,2,Suburbs,412548.61
24,4285,3,3.0,2026,1,Urban,766958.49
25,3653,2,2.0,1958,2,Rural,577417.32
26,3233,4,2.5,2023,2,Rural,618379.33
27,2015,3,1.0,2011,0,Rural,337644.46
28,1755,3,2.5,2003,2,Rural,361389.3
29,3124,4,3.0,1947,1,Downtown,516668.55
30,1984,3,3.0,2025,1,Downtown,340320.17
31,1259,2,1.0,1935,1,Urban,172485.32
32,4185,2,2.0,1995,1,Rural,651847.31
33,821,3,1.5,1936,2,Rural,167620.42
34,3100,2,1.0,1943,1,Suburbs,446441.34
35,1547,3,1.5,2003,2,Downtown,297290.2
36,3704,4,4.0,2015,2,Rural,696529.49
37,4432,2,1.5,1977,2,Urban,681414.98
38,1274,2,2.0,1992,2,Urban,231303.97
39,1882,2,4.0,1994,2,Downtown,377789.35
40,3358,4,1.5,1994,1,Urban,553941.96
41,2847,2,4.0,1966,1,Urban,461504.66
42,4347,3,1.5,1976,2,Downtown,670372.22
43,3547,1,2.0,1984,2,Rural,584368.87
44,1775,2,1.5,2015,1,Rural,302407.5
45,2606,2,1.5,1960,1,Urban,397017.92
46,989,2,1.5,1962,1,Urban,144634.88
47,3805,3,1.0,1994,3,Rural,612445.55
48,3534,3,1.0,1987,0,Downtown,555464.26
49,3805,3,1.0,1953,1,Urban,598918.11
50,1362,2,2.0,1984,1,Suburbs,214678.75
51,2699,2,4.0,1983,1,Downtown,436638.74
52,4438,2,3.0,1998,2,Urban,714339.49
53,2067,2,1.5,2014,0,Urban,342994.12
54,3679,3,1.5,2015,2,Suburbs,592103.88
55,2328,3,2.0,1932,0,Suburbs,355915.68
