StudentID,Gender,Race_Ethnicity,Parental_Education,Lunch,Test_Preparation,Math_Score,Reading_Score,Writing_Score
1001,Male,Group C,Bachelor's Degree,Standard,None,29,84,92
1002,Female,Group C,Bachelor's Degree,Free/Reduced,Completed,52,79,52
1003,Male,Group A,High School,Standard,None,64,58,58
1004,Male,Group C,Some College,Free/Reduced,Completed,65,100,53
1005,Male,Group A,Some College,Free/Reduced,None,69,44,42
1006,Female,Group B,Bachelor's Degree,Free/Reduced,None,70,54,94
1007,Male,Group C,Master's Degree,Standard,None,88,71,49
1008,Male,Group B,Some College,Standard,None,70,70,55
1009,Male,Group A,Master's Degree,Standard,Completed,61,75,87
1010,Female,Group D,Some College,Standard,Completed,42,91,41
1011,Male,Group C,Master's Degree,Free/Reduced,Completed,45,67,79
1012,Male,Group A,High School,Standard,None,74,70,46
1013,Male,Group D,Master's Degree,Standard,None,81,60,86
1014,Male,Group D,High School,Free/Reduced,Completed,89,77,35
1015,Female,Group B,High School,Standard,Completed,53,64,41
1016,Male,Group A,Master's Degree,Free/Reduced,Completed,61,64,59
1017,Female,Group D,High School,Free/Reduced,None,69,76,82
1018,Female,Group C,Bachelor's Degree,Free/Reduced,None,96,83,67
1019,Female,Group C,High School,Standard,Completed,67,38,62
1020,Male,Group B,Some College,Standard,None,89,74,88
1021,Female,Group D,Master's Degree,Free/Reduced,Completed,68,65,100
1022,Male,Group A,Bachelor's Degree,Standard,Completed,83,82,78
1023,Female,Group C,Master's Degree,Free/Reduced,None,81,65,58
1024,Female,Group D,Some College,Free/Reduced,Completed,68,87,61
1025,Female,Group D,Some College,Free/Reduced,Completed,50,59,48
1026,Female,Group B,Some College,Standard,None,61,37,69
1027,Female,Group C,High School,Standard,Completed,88,83,43
1028,Female,Group C,High School,Free/Reduced,None,79,57,76
1029,Female,Group A,Master's Degree,Standard,Completed,59,46,98
1030,Female,Group C,Master's Degree,Standard,None,60,69,78
1031,Male,Group A,Bachelor's Degree,Standard,Completed,40,65,60
1032,Male,Group C,Bachelor's Degree,Free/Reduced,None,87,80,75
1033,Female,Group B,Master's Degree,Free/Reduced,None,79,81,92
1034,Female,Group C,High School,Standard,Completed,63,70,91
1035,Female,Group A,Some College,Standard,None,69,56,52
1036,Male,Group A,Master's Degree,Free/Reduced,None,33,73,75
1037,Female,Group B,Bachelor's Degree,Free/Reduced,Completed,58,71,65
1038,Male,Group C,High School,Standard,Completed,86,76,80
1039,Male,Group C,Master's Degree,Standard,None,80,56,73
1040,Male,Group B,Master's Degree,Free/Reduced,None,70,63,32
1041,Male,Group C,High School,Free/Reduced,None,65,76,62
1042,Male,Group C,Master's Degree,Free/Reduced,None,77,86,70
1043,Female,Group A,High School,Free/Reduced,None,61,82,46
1044,Female,Group C,Some College,Standard,None,41,70,76
